code,iata,city,alias
AKU,AKU,Aksu,
AKV,AKV,Akulivik,
AKW,AKW,Aghajari,
AKY,AKY,Sittwe,
ALB,ALB,Albany,
ALC,ALC,Alicante,
ALD,ALD,Alerta,
ALE,ALE,Alpine,
ALF,ALF,Alta,
ALG,ALG,Алжир,
ALH,ALH,Albany,
ALI,ALI,Alice,
ALJ,ALJ,Alexander Bay,
ALK,ALK,Asela,
ALL,ALL,Albenga,
ALM,ALM,Alamogordo,
ALN,ALN,Alton,
ALO,ALO,Waterloo,
ALP,ALP,Aleppo,
ALQ,ALQ,Alegrete,
ALR,ALR,Alexandra,
ALS,ALS,Alamosa,
ALT,ALT,Alenquer,
ALU,ALU,Alula,
ALV,ALV,Andorra La Vella,
ALW,ALW,Walla Walla,
ALX,ALX,Alexander City,
ALY,ALY,Alexandria,
ALZ,ALZ,Alitak,
AMA,AMA,"Amarillo, TX",
AMB,AMB,Ambilobe,
AMC,AMC,Am Timan,
AMD,AMD,Ahmedabad,
AME,AME,Alto Molocue,
AMF,AMF,Ama,
AMG,AMG,Amboin,
AMH,AMH,Arba Mintch,
AMI,AMI,Mataram,
AMJ,AMJ,Almenara,
AMK,AMK,Durango,
AML,AML,Puerto Armuellas,
AMM,AMM,Amman,
AMN,AMN,Alma,
AMO,AMO,Mao,
AMP,AMP,Ampanihy,
AMQ,AMQ,Ambon,
AMR,AMR,Arno,
AMS,AMS,Amsterdam,
AMT,AMT,Amata,
AMU,AMU,Amanab,
AMW,AMW,Ames,
AMX,AMX,Ammaroo,
AMY,AMY,Ambatomainty,
AMZ,AMZ,Ardmore,
ANA,ANA,Anaheim,
ANB,ANB,Anniston,
ANC,ANC,Anchorage,
AND,AND,Anderson,
ANE,ANE,Angers,
ANF,ANF,Antofagasta,
ANG,ANG,Angouleme,
ANH,ANH,Anuha Island Resort,
ANI,ANI,Aniak,
ANJ,ANJ,Zanaga,
ANK,ANK,Ankara,
ANL,ANL,Andulo,
ANM,ANM,Antalaha,
ANN,ANN,Annette Island,
ANO,ANO,Angoche,
ANP,ANP,Annapolis,
ANQ,ANQ,Angola,
ANR,ANR,Antwerp,
ANS,ANS,Andahuaylas,
ANT,ANT,St Anton,
ANU,ANU,St. John&#039;s,
ANV,ANV,Anvik,
ANW,ANW,Ainsworth,
ANX,ANX,Andenes,
ANY,ANY,Anthony,
ANZ,ANZ,Angus Downs,
AOA,AOA,Aroa,
AOB,AOB,Annanberg,
AOC,AOC,Altenburg,
AOD,AOD,Abou Deia,
AOE,AOE,Eskisehir,
AOG,AOG,Anshan,
AOH,AOH,Lima,
AOI,AOI,Ancona,
AOJ,AOJ,Aomori,
AOK,AOK,Karpathos,
AOL,AOL,Paso De Los Libres,
AON,AON,Arona,
AOO,AOO,Martinsburg,
AOR,AOR,Alor Setar,
AOS,AOS,Amook,
AOT,AOT,Aosta,
AOU,AOU,Attopeu,
APA,APA,Denver,
APB,APB,Apolo,
APC,APC,Napa,
APE,APE,San Juan Aposento,
APF,APF,Naples,
APG,APG,Aberdeen,
APH,APH,Bowling Green,
API,API,Apiay,
APK,APK,Apataki,
APL,APL,Nampula,
APN,APN,Alpena,
APO,APO,Apartado,
APP,APP,Asapa,
APQ,APQ,Arapiraca,
APR,APR,April River,
APS,APS,Anapolis,
APT,APT,Jasper,
APU,APU,Apucarana,
APV,APV,Apple Valley,
APW,APW,Apia,
APX,APX,Arapongas,
APY,APY,Alto Parnaiba,
APZ,APZ,Zapala,
AQA,AQA,Araraquara,
AQB,AQB,Quiche,
AQG,AQG,Anqing,
AQI,AQI,Qaisumah,
AQJ,AQJ,Aqaba,
AQM,AQM,Ariquemes,
AQP,AQP,Arequipa,
AQS,AQS,Saqani,
AQY,AQY,Alyeska,
ARA,ARA,New Iberia,
ARB,ARB,"Ann Arbor, MI",
ARC,ARC,Arctic Village,
ARD,ARD,Alor Island,
ARE,ARE,Arecibo,
ARF,ARF,Acaricuara,
ARG,ARG,Walnut Ridge,
ARI,ARI,Arica,
ARJ,ARJ,Arso,
ARK,ARK,Arusha,
ARL,ARL,Arly,
ARM,ARM,Armidale,
ARN,ARN,Stockholm,
ARO,ARO,Arboletas,
ARP,ARP,Aragip,
ARQ,ARQ,Arauquita,
ARR,ARR,Alto Rio Senguerr,
ARS,ARS,Aragarcas,
ART,ART,Watertown,
ARU,ARU,Aracatuba,
ARV,ARV,Minocqua,
ARW,ARW,Arad,
ARX,ARX,"Neptune, NJ",
ARY,ARY,Ararat,
ASA,ASA,Assab,
ASC,ASC,Ascension,
ASD,ASD,Andros Town,
ASE,ASE,Aspen,
ASG,ASG,Ashburton,
ASH,ASH,"Nashua, NH",
ASI,ASI,"Georgetown, Ascension Island",
ASJ,ASJ,Amami O Shima,
ASK,ASK,Yamoussoukro,
ASL,ASL,Marshall,
ASM,ASM,Asmara,
ASN,ASN,Talladega,
ASO,ASO,Asosa,
ASP,ASP,Alice Springs,
ASQ,ASQ,Austin,
ASR,ASR,Kayseri,
AST,AST,Astoria,
ASU,ASU,Asuncion,
ASV,ASV,Amboseli,
ASW,ASW,Aswan,
ASX,ASX,Ashland,
ASY,ASY,Ashley,
ASZ,ASZ,Asirim,
ATA,ATA,Anta,
ATB,ATB,Atbara,
ATD,ATD,Atoifi,
ATE,ATE,Antlers,
ATF,ATF,Ambato,
ATG,ATG,Attock,
ATI,ATI,Artigas,
ATJ,ATJ,Antsirabe,
ATK,ATK,Atqasuk,
ATL,ATL,"Atlanta, GA",
ATM,ATM,Altamira,
ATN,ATN,Namatanai,
ATO,ATO,Athens,
ATP,ATP,Aitape,
ATQ,ATQ,Amritsar,
ATR,ATR,Atar,
ATS,ATS,Artesia,
ATT,ATT,Atmautluak,
ATU,ATU,Attu Island,
ATV,ATV,Ati,
ATW,ATW,Appleton,
ATX,ATX,Atbasar,
ATY,ATY,Watertown,
ATZ,ATZ,Assiut,
AUA,AUA,Aruba,
AUB,AUB,Itauba,
AUC,AUC,Arauca,
AUD,AUD,Augustus Downs,
AUE,AUE,Abu Rudeis,
AUF,AUF,Auxerre,
AUG,AUG,Augusta,
AUH,AUH,Абу-Даби,АУХ
AUI,AUI,Aua Island,
AUJ,AUJ,Ambunti,
AUK,AUK,Alakanuk,
AUL,AUL,Aur Island,
AUM,AUM,Austin,
AUN,AUN,Auburn,
AUO,AUO,Auburn,
AUP,AUP,Agaun,
AUQ,AUQ,Atuona,
AUR,AUR,Aurillac,
AUT,AUT,Atauro,
AUU,AUU,Aurukun Mission,
AUV,AUV,Aumo,
AUW,AUW,Wausau,
AUX,AUX,Araguaina,
AUY,AUY,Aneityum,
AUZ,AUZ,Aurora,
AVA,AVA,An Shun,
AVB,AVB,Aviano,
AVF,AVF,Avoriaz,
AVG,AVG,Auvergne,
AVI,AVI,Ciego De Avila,
AVK,AVK,Arvaikheer,
AVL,AVL,Fletcher,
AVN,AVN,Avignon,
AVO,AVO,Avon Park,
AVP,AVP,"Wilkes-Barre/Scranton, PA",
AVU,AVU,Avu Avu,
AVV,AVV,Geelong,
AVW,AVW,Tucson,
AVX,AVX,Catalina Island,
AWA,AWA,Awassa,
AWB,AWB,Awaba,
AWD,AWD,Aniwa,
AWE,AWE,Alowe,
AWH,AWH,Awareh,
AWK,AWK,Wake Island,
AWM,AWM,West Memphis,
AWN,AWN,Alton Downs,
AWP,AWP,Austral Downs,
AWR,AWR,Awar,
AWZ,AWZ,Ahwaz,
